house_id,date,month,price,bedrooms,bathrooms,sqft_living,view,yr_built,zipcode,house_age,gender 
7129300520,20141013T000000,10,221900,3,1,1180,0,1955,98178,59,Female
6414100192,20141209T000000,12,538000,3,2.25,2570,0,1951,98125,63,Male
5631500400,20150225T000000,2,180000,2,1,770,0,1933,98028,82,Female
2487200875,20141209T000000,12,604000,4,3,1960,0,1965,98136,49,Female
1954400510,20150218T000000,2,510000,3,2,1680,0,1987,98074,28,Male
7237550310,20140512T000000,5,1.23E+06,4,4.5,5420,0,2001,98053,13,Male
1321400060,20140627T000000,6,257500,3,2.25,1715,0,1995,98003,19,Male
2008000270,20150115T000000,1,291850,3,1.5,1060,0,1963,98198,52,Male
2414600126,20150415T000000,4,229500,3,1,1780,0,1960,98146,55,Female
3793500160,20150312T000000,3,323000,3,2.5,1890,0,2003,98038,12,Male
1736800520,20150403T000000,4,662500,3,2.5,3560,0,1965,98007,50,Female
9212900260,20140527T000000,5,468000,2,1,1160,0,1942,98115,72,Female
114101516,20140528T000000,5,310000,3,1,1430,0,1927,98028,87,Female
6054650070,20141007T000000,10,400000,3,1.75,1370,0,1977,98074,37,Female
1175000570,20150312T000000,3,530000,5,2,1810,0,1900,98107,115,Female
9297300055,20150124T000000,1,650000,4,3,2950,3,1979,98126,36,Male
1875500060,20140731T000000,7,395000,3,2,1890,0,1994,98019,20,Female
6865200140,20140529T000000,5,485000,4,1,1600,0,1916,98103,98,Male
16000397,20141205T000000,12,189000,2,1,1200,0,1921,98002,93,Male
7983200060,20150424T000000,4,230000,3,1,1250,0,1969,98003,46,Female
6300500875,20140514T000000,5,385000,4,1.75,1620,0,1947,98133,67,Female
2524049179,20140826T000000,8,2.00E+06,3,2.75,3050,4,1968,98040,46,Female
7137970340,20140703T000000,7,285000,5,2.5,2270,0,1995,98092,19,Female
8091400200,20140516T000000,5,252700,2,1.5,1070,0,1985,98030,29,Male
3814700200,20141120T000000,11,329000,3,2.25,2450,0,1985,98030,29,Male
1202000200,20141103T000000,11,233000,3,2,1710,0,1941,98002,73,Male
1794500383,20140626T000000,6,937000,3,1.75,2450,0,1915,98119,99,Male
3303700376,20141201T000000,12,667000,3,1,1400,0,1909,98112,105,Male
5101402488,20140624T000000,6,438000,3,1.75,1520,0,1948,98115,66,Male
1873100390,20150302T000000,3,719000,4,2.5,2570,0,2005,98052,10,Male
8562750320,20141110T000000,11,580500,3,2.5,2320,0,2003,98027,11,Male
2426039314,20141201T000000,12,280000,2,1.5,1190,0,2005,98133,9,Female
461000390,20140624T000000,6,687500,4,1.75,2330,0,1929,98117,85,Male
7589200193,20141110T000000,11,535000,3,1,1090,0,1929,98117,85,Male
7955080270,20141203T000000,12,322500,4,2.75,2060,0,1981,98058,33,Male
9547205180,20140613T000000,6,696000,3,2.5,2300,0,1930,98115,84,Female
9435300030,20140528T000000,5,550000,4,1,1660,0,1933,98052,81,Female
2768000400,20141230T000000,12,640000,4,2,2360,0,1904,98107,110,Female
7895500070,20150213T000000,2,240000,4,1,1220,0,1969,98001,46,Male
2078500320,20140620T000000,6,605000,4,2.5,2620,0,1996,98056,18,Male
5547700270,20140715T000000,7,625000,4,2.5,2570,0,2000,98074,14,Male
7766200013,20140811T000000,8,775000,4,2.25,4220,0,1984,98166,30,Female
7203220400,20140707T000000,7,861990,5,2.75,3595,0,2014,98053,0,Female
9270200160,20141028T000000,10,685000,3,1,1570,0,1922,98119,92,Male
1432701230,20140729T000000,7,309000,3,1,1280,0,1959,98058,55,Female
8035350320,20140718T000000,7,488000,3,2.5,3160,0,2003,98019,11,Female
8945200830,20150325T000000,3,210490,3,1,990,0,1966,98023,49,Female
4178300310,20140716T000000,7,785000,4,2.5,2290,0,1981,98007,33,Male
9215400105,20150428T000000,4,450000,3,1.75,1250,0,1953,98115,62,Female
822039084,20150311T000000,3,1.35E+06,3,2.5,2753,2,1953,98070,62,Female
5245600105,20140916T000000,9,228000,3,1,1190,0,1955,98148,59,Female
7231300125,20150217T000000,2,345000,5,2.5,3150,0,1966,98056,49,Male
7518505990,20141231T000000,12,600000,3,1.75,1410,0,1950,98117,64,Female
3626039271,20150205T000000,2,585000,2,1.75,1980,0,1981,98117,34,Female
4217401195,20150303T000000,3,920000,5,2.25,2730,0,1927,98105,88,Male
9822700295,20140512T000000,5,885000,4,2.5,2830,0,1995,98105,19,Male
9478500640,20140819T000000,8,292500,4,2.5,2250,0,2008,98042,6,Female
2799800710,20150407T000000,4,301000,3,2.5,2420,0,2003,98042,12,Male
7922800400,20140827T000000,8,951000,5,3.25,3250,4,1968,98008,46,Female
8079040320,20150223T000000,2,430000,4,3,1850,0,1991,98059,24,Male
1516000055,20141210T000000,12,650000,3,2.25,2150,3,1959,98166,55,Female
9558200045,20140828T000000,8,289000,3,1.75,1260,0,1954,98148,60,Female
5072410070,20141021T000000,10,505000,3,1.75,2519,0,1973,98166,41,Male
9528102996,20141207T000000,12,549000,3,1.75,1540,0,2014,98115,0,Female
1189001180,20140603T000000,6,425000,3,2.25,1660,0,1979,98122,35,Male
3253500160,20141120T000000,11,317625,3,2.75,2770,0,1925,98144,89,Female
3394100030,20140909T000000,9,975000,4,2.5,2720,0,1989,98004,25,Male
3717000160,20141009T000000,10,287000,4,2.5,2240,0,2005,98001,9,Female
1274500060,20140825T000000,8,204000,3,1,1000,0,1968,98042,46,Female
1802000060,20140612T000000,6,1.33E+06,5,2.25,3200,0,1965,98004,49,Male
1525059190,20140912T000000,9,1.04E+06,5,3.25,4770,0,1973,98005,41,Male
1049000060,20150105T000000,1,325000,3,2,1260,0,1972,98034,43,Female
8820901275,20140610T000000,6,571000,4,2,2750,0,1916,98125,98,Female
5416510140,20140710T000000,7,360000,4,2.5,2380,0,2005,98038,9,Female
3444100400,20150316T000000,3,349000,3,1.75,1790,0,1965,98042,50,Female
3276920270,20141105T000000,11,832500,4,4,3430,0,1986,98075,28,Female
4036801170,20141013T000000,10,380000,4,1.75,1760,0,1956,98008,58,Female
2391600320,20150420T000000,4,480000,3,1,1040,0,1941,98116,74,Male
6300000287,20140609T000000,6,410000,3,1,1410,0,1956,98133,58,Male
1531000030,20150323T000000,3,720000,4,2.5,3450,0,2002,98010,13,Male
5104520400,20141202T000000,12,390000,3,2.5,2350,0,2003,98038,11,Female
7437100340,20141222T000000,12,360000,4,2.5,1900,0,1992,98038,22,Male
9418400240,20141028T000000,10,355000,2,1,2020,0,1948,98118,66,Female
1523059105,20150128T000000,1,356000,3,1.5,1680,0,1964,98059,51,Male
1133000671,20140602T000000,6,315000,3,1,960,0,1952,98125,62,Female
4232902595,20141114T000000,11,940000,3,1.5,2140,0,1925,98119,89,Male
2599001200,20141103T000000,11,305000,5,2.25,2660,0,1961,98092,53,Male
3342103156,20140618T000000,6,461000,3,3.25,2770,0,2006,98056,8,Male
1332700270,20140519T000000,5,215000,2,2.25,1610,0,1979,98056,35,Male
3869900162,20140904T000000,9,335000,2,1.75,1030,0,2006,98136,8,Male
2791500270,20140522T000000,5,243500,4,2.5,1980,0,1988,98023,26,Female
5036300431,20150311T000000,3,1.10E+06,5,2.75,3520,0,2001,98199,14,Female
4168000060,20150226T000000,2,153000,3,1,1200,0,1962,98023,53,Male
6021501535,20140725T000000,7,430000,3,1.5,1580,0,1939,98117,75,Male
6021501535,20141223T000000,12,700000,3,1.5,1580,0,1939,98117,75,Female
1483300570,20140908T000000,9,905000,4,2.5,3300,0,1946,98040,68,Male
3422049190,20150330T000000,3,247500,3,1.75,1960,0,1967,98032,48,Male
1099611230,20140912T000000,9,199000,4,1.5,1160,0,1975,98023,39,Male
722079104,20140711T000000,7,314000,3,1.75,1810,0,1980,98038,34,Female
7338200240,20140516T000000,5,437500,3,2.5,2320,2,1992,98045,22,Female
1952200240,20140611T000000,6,850830,3,2.5,2070,0,1910,98102,104,Female
5200100125,20141027T000000,10,555000,3,2,1980,0,1929,98117,85,Male
7214720075,20141212T000000,12,699950,3,2.25,2190,0,1983,98077,31,Female
2450000295,20141007T000000,10,1.09E+06,3,2.5,2920,0,1950,98004,64,Male
6197800045,20140924T000000,9,290000,3,1,1210,0,1954,98058,60,Female
1328310370,20150402T000000,4,375000,3,2.5,2340,0,1978,98058,37,Male
546000875,20140523T000000,5,460000,3,1,1670,0,1939,98117,75,Male
3530510041,20140723T000000,7,188500,2,1.75,1240,0,1985,98198,29,Female
1853000400,20150305T000000,3,680000,4,2.5,3140,0,1991,98077,24,Male
3134100116,20140827T000000,8,470000,5,1.75,2030,0,1942,98052,72,Male
9545230140,20140725T000000,7,597750,4,2.5,2310,0,1984,98027,30,Female
3362400511,20150304T000000,3,570000,3,1.75,1260,0,1905,98103,110,Female
2525310310,20140916T000000,9,272500,3,1.75,1540,0,1980,98038,34,Female
6126500060,20141124T000000,11,329950,3,1.75,2080,2,1971,98108,43,Female
8961960160,20141028T000000,10,480000,4,2.5,3230,3,2001,98001,13,Male
3626039325,20141121T000000,11,740500,3,3.5,4380,0,1900,98117,114,Male
3362400431,20140626T000000,6,518500,3,3.5,1590,0,2010,98103,4,Female
4060000240,20140623T000000,6,205425,2,1,880,0,1945,98178,69,Female
3454800060,20150108T000000,1,171800,4,2,1570,0,1950,98168,65,Female
1695900060,20150511T000000,5,535000,4,1,1610,0,1925,98144,90,Female
7278700070,20150102T000000,1,660000,3,2.5,2400,2,1964,98177,51,Male
6675500070,20141119T000000,11,391500,3,2,1450,0,1987,98034,27,Female
3626039187,20150406T000000,4,395000,2,1,770,0,1953,98117,62,Female
3524049083,20141104T000000,11,445000,4,1.75,2100,0,1924,98118,90,Female
3275860240,20140618T000000,6,770000,3,2.25,2910,0,1990,98052,24,Female
4389200955,20150302T000000,3,1.45E+06,4,2.75,2750,0,1914,98004,101,Male
4058801670,20140717T000000,7,445000,3,2.25,2100,2,1967,98178,47,Female
8732020310,20140717T000000,7,260000,4,2.25,2160,0,1978,98023,36,Male
2331300505,20140613T000000,6,822500,5,3.5,2320,0,1926,98103,88,Female
7853210060,20150406T000000,4,430000,4,2.5,2070,0,2004,98065,11,Female
3668000070,20150105T000000,1,212000,3,1.75,1060,0,1986,98092,29,Female
9545240070,20150428T000000,4,660500,4,2.25,2010,0,1986,98027,29,Male
1243100136,20140612T000000,6,784000,3,3.5,3950,0,1989,98052,25,Male
8929000270,20140512T000000,5,453246,3,2.5,2010,0,2014,98029,0,Female
2767602356,20150126T000000,1,675000,4,3.5,2140,0,2005,98107,10,Male
921049315,20140813T000000,8,199000,3,1.75,1320,0,1956,98003,58,Female
3655000070,20140805T000000,8,220000,4,1.75,2020,0,1968,98003,46,Female
4027700812,20140529T000000,5,452000,4,2.25,2590,0,1968,98028,46,Male
3992700335,20140707T000000,7,382500,2,1,1190,0,1981,98125,33,Male
2767603505,20140507T000000,5,519950,3,2.25,1170,0,2014,98107,0,Male
4232901525,20140627T000000,6,665000,2,1,1110,0,1925,98119,89,Female
1777500060,20140708T000000,7,527700,5,2.5,2820,0,1968,98006,46,Female
1432900240,20150508T000000,5,205000,3,1,1610,0,1962,98058,53,Female
6140100875,20150415T000000,4,420000,3,1,1060,0,1923,98133,92,Female
6071600370,20150227T000000,2,500000,4,2.25,2030,0,1961,98006,54,Female
1526069017,20141203T000000,12,921500,4,2.5,3670,0,1994,98077,20,Male
809001525,20140625T000000,6,890000,4,1,2550,0,1905,98109,109,Female
3224079105,20140806T000000,8,430000,2,2.5,2420,0,2007,98027,7,Male
8075400570,20141030T000000,10,258000,5,2,2260,0,1960,98032,54,Female
1994200024,20141104T000000,11,511000,3,1,1430,0,1947,98103,67,Female
3362900810,20140820T000000,8,532170,3,2,1360,0,1990,98103,24,Female
1324300398,20150409T000000,4,560000,3,1,1110,0,1947,98107,68,Female
537000445,20150331T000000,3,282950,3,1,1250,0,1954,98003,61,Male
7855801670,20150401T000000,4,2.25E+06,4,3.25,5180,3,2006,98006,9,Female
7920100045,20140516T000000,5,350000,1,1,700,0,1942,98115,72,Female
8960000030,20140728T000000,7,215000,3,1,1180,0,1967,98058,47,Female
6388930390,20141120T000000,11,650000,5,3.5,3960,0,1996,98056,18,Male
8731900200,20140807T000000,8,320000,4,2.75,2640,0,1967,98023,47,Female
8029200135,20141113T000000,11,247000,3,2,1270,0,1916,98022,98,Female
1081200350,20141003T000000,10,320000,4,1.75,1760,0,1968,98059,46,Male
84000105,20140507T000000,5,255000,5,2.25,2060,0,1962,98146,52,Female
3756500060,20150309T000000,3,438000,3,1.75,1780,0,1962,98034,53,Male
7215720160,20150304T000000,3,900000,3,2.5,3400,0,2000,98075,15,Male
3574800520,20140620T000000,6,441000,3,2.75,1910,0,1979,98034,35,Female
2617300160,20140812T000000,8,420000,3,2,2020,0,1975,98027,39,Male
2558660270,20141208T000000,12,370000,3,1.75,1580,0,1976,98034,38,Male
2009000370,20150219T000000,2,269950,2,1.75,1340,0,1949,98198,66,Female
1836980160,20150324T000000,3,807100,4,2.5,2680,0,1999,98006,16,Female
3261020370,20140605T000000,6,653000,3,2.5,2680,0,1979,98034,35,Male
1755700060,20140611T000000,6,371500,3,2,1370,0,1964,98133,50,Male
4330600435,20150316T000000,3,284000,3,1.75,1560,0,1954,98166,61,Female
9542800700,20150102T000000,1,272000,3,1.75,2160,0,1978,98023,37,Male
1999700045,20140502T000000,5,313000,3,1.5,1340,0,1955,98133,59,Male
1762600070,20150116T000000,1,917500,4,2.5,3880,0,1984,98033,31,Female
1687900520,20140929T000000,9,673000,4,2.25,2590,0,1980,98006,34,Female
7234600798,20150210T000000,2,425000,3,2.5,1120,0,2008,98122,7,Male
3881900445,20140709T000000,7,399950,5,2.75,1970,0,1986,98144,28,Female
2254502445,20140530T000000,5,385000,3,1,1220,0,1901,98122,113,Female
5437810320,20141117T000000,11,269950,3,1.5,1950,2,1975,98022,39,Female
9158100075,20150107T000000,1,330000,2,1,1350,0,1949,98177,66,Female
3830630310,20140725T000000,7,260000,3,2.5,1670,0,1988,98030,26,Female
8123100045,20150414T000000,4,470000,4,3,2380,0,1925,98126,90,Female
3127200041,20140613T000000,6,589000,4,3,2440,0,1961,98034,53,Female
6661200320,20140723T000000,7,163500,2,1.5,1050,0,1996,98038,18,Female
11510310,20140905T000000,9,835000,4,2.75,3130,0,1993,98052,21,Male
825059270,20141121T000000,11,1.10E+06,5,3,4090,2,1986,98033,28,Female
8731951370,20150415T000000,4,269000,4,1.75,1490,0,1969,98023,46,Female
1954440060,20140505T000000,5,560000,3,2.5,1900,0,1987,98074,27,Male
2264500350,20150418T000000,4,615000,4,1,1330,0,1901,98103,114,Female
1115810060,20141205T000000,12,585188,3,2.25,2230,0,1975,98052,39,Female
9477200200,20140818T000000,8,305000,3,1.75,1650,0,1977,98034,37,Female
1432600560,20141105T000000,11,166950,3,1,1190,0,1959,98058,55,Male
2287000060,20140912T000000,9,799000,3,2.5,2140,0,1959,98040,55,Male
3663500060,20140625T000000,6,400000,3,2.5,2180,0,1962,98133,52,Male
3996900125,20141201T000000,12,230000,3,1,1060,0,1948,98155,66,Male
7796450200,20140515T000000,5,256883,3,2.5,1690,0,2003,98023,11,Female
7549802535,20141111T000000,11,423000,4,2,1970,0,1920,98108,94,Male
3278600320,20140723T000000,7,465000,3,2.5,2150,0,2007,98126,7,Male
2824079053,20150113T000000,1,440000,3,2.5,1910,0,1997,98024,18,Female
1222069094,20141014T000000,10,385000,3,1.75,1350,0,1969,98038,45,Female
3542300060,20150311T000000,3,210000,3,1,860,0,1943,98056,72,Female
2222059065,20141112T000000,11,297000,3,2.5,1940,0,1994,98042,20,Male
7551300060,20140716T000000,7,470000,3,1,1010,0,1952,98107,62,Male
100600550,20140804T000000,8,226500,3,1.5,1300,0,1976,98023,38,Male
3211100860,20150303T000000,3,274250,3,1,910,0,1962,98059,53,Male
3456000310,20140804T000000,8,840000,4,1.75,2480,0,1966,98040,48,Male
9526600140,20140919T000000,9,677900,3,2.5,2440,0,2010,98052,4,Male
7465900060,20150205T000000,2,425000,3,1,1010,0,1915,98116,100,Male
1222000055,20141123T000000,11,180250,2,0.75,900,0,1941,98166,73,Male
6300000550,20140717T000000,7,464000,6,3,2300,0,1920,98133,94,Male
2310030510,20150422T000000,4,320000,4,2.25,1550,0,1993,98038,22,Male
1025049114,20140717T000000,7,625504,3,2.25,1270,0,2014,98105,0,Male
8677300550,20140515T000000,5,592500,4,2.5,2240,0,1983,98074,31,Male
4014400292,20150114T000000,1,465000,3,2.5,2714,0,2005,98001,10,Female
1102000196,20140527T000000,5,477000,4,2.75,1720,0,1978,98118,36,Female
257000138,20150115T000000,1,280000,2,1,850,0,1923,98168,92,Male
46100204,20150221T000000,2,1.51E+06,5,3,3300,3,1957,98040,58,Male
1909600046,20140703T000000,7,445838,3,2.5,2250,0,2000,98146,14,Male
1250202145,20140828T000000,8,1.07E+06,2,2.25,3900,3,1947,98144,67,Female
7611200125,20141023T000000,10,467000,2,1.5,1320,0,1947,98177,67,Male
5611500140,20140822T000000,8,686000,4,2.5,2760,0,1999,98075,15,Female
7138000260,20140605T000000,6,279950,3,2,1750,0,1961,98198,53,Female
626059335,20140904T000000,9,527000,4,2.25,2330,0,1987,98011,27,Female
1922059282,20140918T000000,9,325000,3,2.25,2220,0,1966,98030,48,Female
705700390,20140903T000000,9,328000,3,2.25,2020,0,1994,98038,20,Male
7454001200,20140604T000000,6,390000,3,2.25,1250,0,1942,98146,72,Male
8682281200,20150309T000000,3,479950,2,2,1510,0,2005,98053,10,Female
7972000200,20140529T000000,5,264950,4,2.25,1720,0,1978,98023,36,Male
722059070,20150115T000000,1,235000,3,1,1430,0,1961,98031,54,Male
7202340400,20150303T000000,3,516500,3,2.5,1480,0,2004,98053,11,Female
8096000060,20150413T000000,4,655000,2,1.75,1450,4,1915,98166,100,Male
2424000060,20140616T000000,6,500000,4,2.75,2280,0,1960,98059,54,Female
9264902050,20141121T000000,11,315000,6,2.75,2940,0,1978,98023,36,Female
943100260,20141120T000000,11,213000,2,1,1000,0,1961,98024,53,Male
3677400445,20140902T000000,9,475000,3,1.5,2480,0,1947,98108,67,Male
1762600320,20140610T000000,6,1.03E+06,5,4,3760,0,1983,98033,31,Male
4058000060,20150409T000000,4,416000,3,2,2220,0,1976,98010,39,Female
7228500560,20150320T000000,3,410000,4,1,1970,0,1904,98122,111,Male
326069104,20140701T000000,7,800000,3,3.5,3830,0,1993,98077,21,Female
5152100060,20140529T000000,5,472000,6,2.5,4410,2,1965,98003,49,Male
3584000310,20141208T000000,12,225000,3,1.75,1430,0,1968,98003,46,Male
8150100045,20141001T000000,10,210000,2,1,830,0,1940,98126,74,Female
1868901275,20150127T000000,1,455000,2,1,1430,0,1925,98115,90,Female
6131600075,20150427T000000,4,225000,3,1,1300,0,1954,98002,61,Female
9468200125,20140826T000000,8,480000,2,1,1030,2,1918,98103,96,Female
8029510030,20150212T000000,2,363000,3,2.5,2740,0,1990,98023,25,Male
2025069065,20140929T000000,9,2.40E+06,4,2.5,3650,4,2000,98074,14,Female
7899800890,20150226T000000,2,181000,2,1.5,720,0,1954,98106,61,Male
3021059276,20150314T000000,3,250000,4,2,2010,0,1976,98002,39,Female
3797001895,20150422T000000,4,481000,3,1.75,1560,0,1918,98103,97,Female
3832710960,20140923T000000,9,260000,3,2,1810,0,1978,98032,36,Female
1310430400,20140513T000000,5,455000,4,2.5,3360,0,2001,98058,13,Male
1422300030,20150401T000000,4,415000,3,2.25,1510,0,1991,98045,24,Male
1105000588,20150421T000000,4,349500,3,1,1400,0,1953,98118,62,Female
3830630060,20140929T000000,9,245000,3,2.5,1730,0,1987,98030,27,Female
5101404898,20140519T000000,5,592500,2,2,1420,2,1928,98115,86,Female
7972601890,20141020T000000,10,385000,4,1.75,2360,0,1955,98106,59,Female
5127001620,20150211T000000,2,315000,3,1.75,1580,0,1974,98059,41,Male
9407100800,20141124T000000,11,255000,3,1,1230,0,1979,98045,35,Female
1873100060,20140829T000000,8,693000,4,2.5,2460,0,2006,98052,8,Male
8722101360,20141202T000000,12,780000,3,1,1660,0,1911,98112,103,Male
8644000060,20141024T000000,10,237000,3,1.75,1270,0,1960,98198,54,Male
3325069129,20141216T000000,12,525000,3,2.25,2100,0,1979,98074,35,Male
1400300055,20150428T000000,4,425000,2,1,770,0,1930,98144,85,Male
2123039032,20141027T000000,10,369900,1,0.75,760,4,1936,98070,78,Female
8078560140,20140519T000000,5,290000,4,2.5,1700,0,1988,98031,26,Female
3438500192,20140929T000000,9,285000,3,1,1120,0,1954,98106,60,Male
7974200510,20140814T000000,8,415000,2,1,1070,0,1937,98115,77,Male
2557000400,20150409T000000,4,272500,3,2.5,2070,0,1979,98023,36,Male
7960900060,20150504T000000,5,2.90E+06,4,3.25,5050,2,1982,98004,33,Male
4054500390,20141007T000000,10,1.37E+06,4,4.75,5310,0,1989,98077,25,Male
6378500125,20150501T000000,5,436000,2,1,1040,0,1939,98133,76,Female
1745100140,20141017T000000,10,210000,3,1,1700,0,1967,98003,47,Female
2976800796,20140925T000000,9,236000,3,1,1300,0,1961,98178,53,Female
4235400186,20141124T000000,11,331000,3,1.75,1080,0,1954,98199,60,Male
4215100060,20150320T000000,3,365000,3,2.5,2653,0,2006,98031,9,Female
9189700045,20150127T000000,1,450000,3,2,2290,0,1960,98058,55,Female
1126049053,20141113T000000,11,770000,4,2.75,3820,0,2014,98028,0,Female
2022069200,20150505T000000,5,455000,4,2.5,2210,0,1997,98038,18,Female
9412900055,20150505T000000,5,405000,3,1.75,2390,0,1908,98118,107,Male
1722059235,20140703T000000,7,304900,4,1.75,2600,0,1969,98031,45,Male
6874200960,20150227T000000,2,170000,2,1,860,0,1931,98178,84,Male
7424700045,20150513T000000,5,2.05E+06,5,3,3830,1,1905,98122,110,Male
7202360350,20140630T000000,6,780000,4,2.5,3500,0,2005,98053,9,Male
5634500392,20150410T000000,4,330000,3,3,2420,0,1988,98028,27,Male
1509500060,20140905T000000,9,370000,4,2.5,2720,0,1992,98030,22,Female
7214810350,20141017T000000,10,467000,5,2.25,2500,0,1979,98072,35,Female
6647200060,20150209T000000,2,405000,3,1.75,1670,0,1980,98034,35,Male
9552700140,20140702T000000,7,675000,5,2.25,2900,0,1985,98006,29,Male
2200500350,20140812T000000,8,500000,2,1,1640,0,1954,98006,60,Male
6113400046,20140723T000000,7,389999,4,2.5,1890,0,1968,98166,46,Female
6619910140,20150224T000000,2,630000,4,1.75,2950,2,1975,98034,40,Female
1115450240,20141022T000000,10,360000,4,2.5,2160,0,1992,98001,22,Male
6073240060,20141002T000000,10,580000,4,3,3280,0,1986,98056,28,Male
9297300045,20140709T000000,7,550000,3,2,1970,3,1929,98126,85,Male
9510920070,20140710T000000,7,879000,4,2.5,3360,0,1994,98075,20,Male
5468730030,20140822T000000,8,265000,3,2,1320,0,1993,98042,21,Female
8079030390,20150304T000000,3,446500,3,2.5,2650,0,1990,98059,25,Male
600000152,20140602T000000,6,404000,3,1.5,2030,0,1963,98108,51,Male
1840000030,20140529T000000,5,267500,3,1.75,1590,2,1957,98188,57,Female
3225069065,20140624T000000,6,3.08E+06,4,5,4550,4,2002,98074,12,Male
3260800030,20140811T000000,8,335000,3,2.5,2440,0,1998,98003,16,Female
2747100024,20140619T000000,6,576000,3,2.5,1940,0,1948,98117,66,Female
5104530560,20150401T000000,4,208633,3,2.5,2040,0,2006,98038,9,Female
4330600350,20150115T000000,1,315000,3,2.25,2200,0,1964,98166,51,Female
5016001535,20150217T000000,2,725000,3,1.75,1920,0,1913,98112,102,Male
7280300196,20150403T000000,4,550000,4,2.75,1800,0,1965,98177,50,Male
8651520400,20140612T000000,6,610750,4,2.25,2180,0,1984,98074,30,Female
7171200445,20150228T000000,2,550700,2,1,1010,0,1908,98105,107,Male
3204800200,20150108T000000,1,665000,4,2.75,3320,0,1960,98056,55,Male
3416600800,20150209T000000,2,834000,4,2.5,2370,2,1928,98144,87,Male
7994700030,20141023T000000,10,201000,5,1.75,1660,0,1915,98065,99,Female
1860600135,20140502T000000,5,2.38E+06,5,2.5,3650,4,1921,98119,93,Female
4139480200,20140618T000000,6,1.38E+06,4,3.25,4290,3,1997,98006,17,Female
4139480200,20141209T000000,12,1.40E+06,4,3.25,4290,3,1997,98006,17,Male
1328320800,20141105T000000,11,305000,4,2.25,1950,0,1979,98058,35,Male
7771300125,20150408T000000,4,487000,3,2,2590,0,1948,98133,67,Female
3422059208,20150511T000000,5,390000,3,2.5,1930,0,1988,98042,27,Female
9521101455,20140723T000000,7,548000,2,1,1470,0,1916,98103,98,Female
4337000335,20141122T000000,11,268750,4,1,800,0,1943,98166,71,Male
325059286,20140513T000000,5,819900,5,2.75,3150,0,2013,98052,1,Male
2597650240,20141023T000000,10,520000,3,2.25,2030,0,1984,98027,30,Male
3353400435,20140721T000000,7,230000,3,2,1450,0,2003,98001,11,Female
7972000240,20150202T000000,2,240000,3,1.75,1510,0,1969,98023,46,Female
7520000520,20140905T000000,9,232000,2,1,1240,0,1922,98146,92,Male
7520000520,20150311T000000,3,240500,2,1,1240,0,1922,98146,93,Male
3530210260,20141027T000000,10,274975,3,2.5,3030,0,1987,98077,27,Female
1959700550,20140905T000000,9,740000,4,2,2050,0,1922,98102,92,Male
1665400045,20150428T000000,4,186375,3,1,1000,0,1952,98166,63,Female
9542850320,20140725T000000,7,790000,3,2.25,2370,0,1977,98005,37,Female
3179100060,20140916T000000,9,880000,4,3.5,2800,0,1951,98105,63,Male
2946001550,20150416T000000,4,279000,6,1.75,2240,0,1955,98198,60,Female
8078490390,20140729T000000,7,295000,3,2,1810,2,1991,98022,23,Female
9550201550,20150408T000000,4,640000,2,1,1070,0,1924,98103,91,Female
191100045,20140703T000000,7,940000,4,2,2490,0,1968,98040,46,Male
5009600070,20141007T000000,10,260000,4,2.5,1960,0,2003,98038,11,Female
200350070,20140602T000000,6,559900,3,2.75,2930,0,2004,98072,10,Female
2877103726,20140722T000000,7,791500,4,2,1510,0,1911,98103,103,Male
405100295,20140826T000000,8,265000,3,1.75,1420,0,1954,98133,60,Male
4268200055,20150501T000000,5,245000,3,1.75,1740,0,1954,98178,61,Male
3126069068,20150424T000000,4,485000,4,1.75,2560,0,1962,98052,53,Female
1115300070,20141106T000000,11,684000,4,3.5,3040,0,2010,98059,4,Male
6414100671,20140909T000000,9,425000,3,1.75,2500,0,1957,98125,57,Female
7004200060,20141017T000000,10,309600,4,1.75,1275,0,1991,98070,23,Female
7852110140,20140718T000000,7,552250,4,2.5,2580,0,2002,98065,12,Male
3969300030,20140723T000000,7,165000,4,1,1000,0,1943,98178,71,Female
